"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"945","/book/show/7437.Naked_Lunch","Naked Lunch","William S. Burroughs;James Grauerholz;Barry  Miles","Naked Lunch (sometimes The Naked Lunch) is a novel by William S. Burroughs originally published in 1959. The book is structured as a series of loosely connected vignettes. Burroughs stated that the chapters are intended to be read in any order. The reader follows the narration of junkie William Lee, who takes on various aliases, from the US to Mexico, eventually to Tangier
  Naked Lunch (sometimes The Naked Lunch) is a novel by William S. Burroughs originally published in 1959. The book is structured as a series of loosely connected vignettes. Burroughs stated that the chapters are intended to be read in any order. The reader follows the narration of junkie William Lee, who takes on various aliases, from the US to Mexico, eventually to Tangier and the dreamlike Interzone. The vignettes (which Burroughs called ""routines"") are drawn from Burroughs' own experience in these places, and his addiction to drugs (heroin, morphine, and while in Tangier, ""Majoun""—a strong marijuana confection—as well as a German opioid, brand name Eukodol, of which he wrote frequently).The novel was included in Time magazine's ""100 Best English-language Novels from 1923 to 2005"". In 1991, David Cronenberg released a film of the same name based upon the novel and other Burroughs writings.
  ...more","/genres/fiction;/genres/classics;/genres/literature;/genres/novels;/genres/american","1,462 users;650 users;236 users;151 users;127 users"
"946","/book/show/11557.Swan_Song","Swan Song","Robert McCammon","In a wasteland born of rage and fear, populated by monstrous creatures and marauding armies, earth's last survivors have been drawn into the final battle between good and evil, that will decide the fate of humanity: Sister, who discovers a strange and transformative glass artifact in the destroyed Manhattan streets; Joshua Hutchins, the pro wrestler who takes refuge from t
  In a wasteland born of rage and fear, populated by monstrous creatures and marauding armies, earth's last survivors have been drawn into the final battle between good and evil, that will decide the fate of humanity: Sister, who discovers a strange and transformative glass artifact in the destroyed Manhattan streets; Joshua Hutchins, the pro wrestler who takes refuge from the nuclear fallout at a Nebraska gas station; and Swan, a young girl possessing special powers, who travels alongside Josh to a Missouri town where healing and recovery can begin with Swan's gifts. But the ancient force behind earth's devastation is scouring the walking wounded for recruits for its relentless army, beginning with Swan herself.
  ...more","/genres/horror;/genres/fiction;/genres/post-apocalyptic;/genres/fantasy;/genres/science-fiction;/genres/dystopia;/genres/apocalyptic","1,176 users;358 users;352 users;245 users;176 users;132 users;132 users"
"947","/book/show/11602.Hearts_in_Atlantis","Hearts in Atlantis","Stephen King","Hearts In Atlantis is composed of five interconnected, sequential narratives set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.In ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood and that adults are sometimes not rescuers but at the he
  Hearts In Atlantis is composed of five interconnected, sequential narratives set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.In ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood and that adults are sometimes not rescuers but at the heart of the terror.In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast.In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow and haunted as their own lives.And in ""Heavenly Shades of Night Are Falling,"" Bobby returns to his hometown where one final secret, and his heart's desire may await him.Full of danger, suspense, and full of heart, Hearts In Atlantis takes some listeners to a place they have never been...and others to a place they have never been able to completely leave.
  ...more","/genres/horror;/genres/fiction;/genres/fantasy;/genres/short-stories","1,095 users;780 users;285 users;197 users"
"948","/book/show/17309.This_Present_Darkness","This Present Darkness (Darkness, #1)","Frank E. Peretti","""For we do not wrestle against flesh and blood, but against the rulers, against the authorities, against the cosmic powers over this present darkness, against the spiritual forces of evil in the heavenly places."" Ephesians 6:12Ashton is just a typical small town. But when a skeptical reporter and a prayerful, hardworking pastor begin to investigate mysterious events, they
  ""For we do not wrestle against flesh and blood, but against the rulers, against the authorities, against the cosmic powers over this present darkness, against the spiritual forces of evil in the heavenly places."" Ephesians 6:12Ashton is just a typical small town. But when a skeptical reporter and a prayerful, hardworking pastor begin to investigate mysterious events, they suddenly find themselves caught up in a hideous New Age plot to enslave the townspeople, and eventually the entire human race. The physical world meets the spiritual realm as the battle rages between forces of good and evil.This Present Darkness is a gripping story that brings keen insight into spiritual warfare and the necessity of prayer. Since its original publication more than 2.7 million copies have been sold. The companion volume, Piercing the Darkness, continues the story of the battle between spiritual forces.
  ...more","/genres/christian-fiction;/genres/fiction;/genres/christian;/genres/fantasy;/genres/religion;/genres/thriller;/genres/spirituality;/genres/christianity;/genres/supernatural;/genres/novels","657 users;627 users;562 users;200 users;78 users;77 users;61 users;51 users;44 users;42 users"
"949","/book/show/187020.Empire_Falls","Empire Falls","Richard Russo","Richard Russo—from his first novel, Mohawk, to his most recent, Straight Man—has demonstrated a peerless affinity for the human tragicomedy, and with this stunning new novel he extends even further his claims on the small-town, blue-collar heart of the country.Dexter County, Maine, and specifically the town of Empire Falls, has seen better days, and for decades, in fact, o
  Richard Russo—from his first novel, Mohawk, to his most recent, Straight Man—has demonstrated a peerless affinity for the human tragicomedy, and with this stunning new novel he extends even further his claims on the small-town, blue-collar heart of the country.Dexter County, Maine, and specifically the town of Empire Falls, has seen better days, and for decades, in fact, only a succession from bad to worse. One by one, its logging and textile enterprises have gone belly-up, and the once vast holdings of the Whiting clan (presided over by the last scion’s widow) now mostly amount to decrepit real estate. The working classes, meanwhile, continue to eke out whatever meager promise isn’t already boarded up.Miles Roby gazes over this ruined kingdom from the Empire Grill, an opportunity of his youth that has become the albatross of his daily and future life. Called back from college and set to work by family obligations—his mother ailing, his father a loose cannon—Miles never left home again. Even so, his own obligations are manifold: a pending divorce; a troubled younger brother; and, not least, a peculiar partnership in the failing grill with none other than Mrs. Whiting. All of these, though, are offset by his daughter, Tick, whom he guides gently and proudly through the tribulations of adolescence.A decent man encircled by history and dreams, by echoing churches and abandoned mills, by the comforts and feuds provided by lifelong friends and neighbors, Miles is also a patient, knowing guide to the rich, hardscrabble nature of Empire Falls: fathers and sons and daughters, living and dead, rich and poor alike. Shot through with the mysteries of generations and the shattering visitations of the nation at large, it is a social novel of panoramic ambition, yet at the same time achingly personal. In the end, Empire Falls reveals our worst and best instincts, both our most appalling nightmares and our simplest hopes, with all the vision, grace and humanity of truly epic storytelling.
  ...more","/genres/fiction;/genres/contemporary;/genres/literature;/genres/novels;/genres/literary-fiction;/genres/book-club;/genres/adult-fiction;/genres/adult;/genres/american;/genres/audiobook","1,569 users;130 users;106 users;106 users;103 users;66 users;63 users;50 users;36 users;36 users"
"950","/book/show/8235178-across-the-universe","Across the Universe (Across the Universe, #1)","Beth Revis","A love out of time. A spaceship built of secrets and murder. Seventeen-year-old Amy joins her parents as frozen cargo aboard the vast spaceship Godspeed and expects to awaken on a new planet, three hundred years in the future. Never could she have known that her frozen slumber would come to an end fifty years too soon and that she would be thrust into the brave new world o
  A love out of time. A spaceship built of secrets and murder. Seventeen-year-old Amy joins her parents as frozen cargo aboard the vast spaceship Godspeed and expects to awaken on a new planet, three hundred years in the future. Never could she have known that her frozen slumber would come to an end fifty years too soon and that she would be thrust into the brave new world of a spaceship that lives by its own rules.Amy quickly realizes that her awakening was no mere computer malfunction. Someone—one of the few thousand inhabitants of the spaceship —tried to kill her. And if Amy doesn't do something soon, her parents will be next.Now Amy must race to unlock Godspeed's hidden secrets. But out of her list of murder suspects, there's only one who matters: Elder, the future leader of the ship and the love she could never have seen coming.
  ...more","/genres/young-adult;/genres/science-fiction;/genres/dystopia;/genres/romance","2,814 users;2,111 users;1,439 users;1,063 users"
"951","/book/show/17267.The_Great_Divorce","The Great Divorce","C.S. Lewis","In ""The Great Divorce, "" C.S. Lewis's classic vision of the Afterworld, the narrator boards a bus on a drizzly English afternoon and embarks on an incredible voyage through Heaven and Hell. He meets a host of supernatural beings far removed from his expectations, and comes to some significant realizations about the nature of good and evil.A stunning new edition of this tim
  In ""The Great Divorce, "" C.S. Lewis's classic vision of the Afterworld, the narrator boards a bus on a drizzly English afternoon and embarks on an incredible voyage through Heaven and Hell. He meets a host of supernatural beings far removed from his expectations, and comes to some significant realizations about the nature of good and evil.A stunning new edition of this timeless allegory of heaven and hell, repackaged and rebranded as part of the C.S. Lewis Signature Classics range.
  ...more","/genres/theology;/genres/fantasy;/genres/religion;/genres/fiction;/genres/christian-fiction;/genres/faith;/genres/spirituality;/genres/classics;/genres/literature;/genres/inspirational","472 users;303 users;259 users;221 users;222 users;213 users;210 users;80 users;77 users;55 users"
"952","/book/show/9592.Mother_Night","Mother Night","Kurt Vonnegut","Mother Night is a daring challenge to our moral sense. American Howard W. Campbell, Jr., a spy during World War II, is now on trial in Israel as a Nazi war criminal. But is he really guilty? In this brilliant book rife with true gallows humor, Vonnegut turns black and white into a chilling shade of gray with a verdict that will haunt us all.","/genres/fiction;/genres/classics;/genres/historical-fiction;/genres/literature;/genres/war","1,324 users;323 users;230 users;209 users;170 users"
"953","/book/show/9680718-half-blood","Half-Blood (Covenant, #1)","Jennifer L. Armentrout","The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than
  The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than waste it scrubbing toilets, but she may end up slumming it anyway. There are several rules that students at the Covenant must follow. Alex has problems with them all, but especially rule #1:Relationships between pures and halfs are forbidden. Unfortunately, she's crushing hard on the totally hot pure-blood Aiden. But falling for Aiden isn't her biggest problem--staying alive long enough to graduate the Covenant and become a Sentinel is.If she fails in her duty, she faces a future worse than death or slavery: being turned into a daimon, and being hunted by Aiden. And that would kind of suck.
  ...more","/genres/young-adult;/genres/fantasy;/genres/paranormal;/genres/mythology;/genres/romance","1,212 users;1,151 users;1,013 users;717 users;678 users"
"954","/book/show/2985500-night-world-no-2","Night World, No. 2 (Night World, #4-6)","L.J. Smith","Includes:Book 4 - Dark AngelBook 5 - The ChosenBook 6 - SoulmateVampires, werewolves, witches, shapeshifters -- they live among us without our knowledge. Night World is their secret society, a secret society with very strict rules. And falling in love breaks all the laws of the Night World.In Dark Angel, Gillian is saved from drowning by her guardian angel. Only visible to
  Includes:Book 4 - Dark AngelBook 5 - The ChosenBook 6 - SoulmateVampires, werewolves, witches, shapeshifters -- they live among us without our knowledge. Night World is their secret society, a secret society with very strict rules. And falling in love breaks all the laws of the Night World.In Dark Angel, Gillian is saved from drowning by her guardian angel. Only visible to Gillian, Angel will fulfill her heart's every desire. But when Angel starts making strange and sinister requests, Gillian must question who he truly is and where he came from.Armed with a wooden stake, martial arts, and the will to resist a vampire's mind control, Rashel struggles to avenge her mother's death in The Chosen. Then she meets Quinn, her soulmate, who is part of the world she has vowed to destroy.Hannah receives notes warning her of incredible danger in Soulmate. But if death is her destiny, is the Lord of the Night World's love strong enough to save her?
  ...more","/genres/young-adult;/genres/vampires;/genres/paranormal;/genres/romance;/genres/supernatural;/genres/fantasy;/genres/witches;/genres/paranormal-romance;/genres/werewolves;/genres/magic","489 users;416 users;315 users;213 users;149 users;118 users;106 users;97 users;92 users;91 users"
"955","/book/show/29797.The_Pilgrim_s_Progress","The Pilgrim's Progress","John Bunyan","Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial Cit
  Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.Along a road filled with monsters and spiritual terrors, Christian confronts such emblematic characters as Worldly Wiseman, Giant Despair, Talkative, Ignorance, and the demons of the Valley of the Shadow of Death. But he is also joined by Hopeful and Faithful.An enormously influential 17th-century classic, universally known for its simplicity, vigor, and beauty of language, The Pilgrim's Progress remains one of the most widely read books in the English language.
  ...more","/genres/classics;/genres/fiction;/genres/christian;/genres/religion;/genres/christian-fiction;/genres/christianity","1,667 users;984 users;751 users;373 users;307 users;264 users"
"956","/book/show/6969.Emma","Emma","Jane Austen;Fiona Stafford","'I never have been in love; it is not my way, or my nature; and I do not think I ever shall.'Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knig
  'I never have been in love; it is not my way, or my nature; and I do not think I ever shall.'Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.This edition includes a new chronology and additional suggestions for further reading.
  ...more","/genres/classics;/genres/fiction;/genres/romance","16,215 users;4,285 users;2,925 users"
"957","/book/show/13644052-origin","Origin (Lux, #4)","Jennifer L. Armentrout","Daemon will do anything to get Katy back.After the successful but disastrous raid on Mount Weather, he’s facing the impossible. Katy is gone. Taken. Everything becomes about finding her. Taking out anyone who stands in his way? Done. Burning down the whole world to save her? Gladly. Exposing his alien race to the world? With pleasure.All Katy can do is survive.Surrounded b
  Daemon will do anything to get Katy back.After the successful but disastrous raid on Mount Weather, he’s facing the impossible. Katy is gone. Taken. Everything becomes about finding her. Taking out anyone who stands in his way? Done. Burning down the whole world to save her? Gladly. Exposing his alien race to the world? With pleasure.All Katy can do is survive.Surrounded by enemies, the only way she can come out of this is to adapt. After all, there are sides of Daedalus that don’t seem entirely crazy, but the group’s goals are frightening and the truths they speak even more disturbing. Who are the real bad guys? Daedalus? Mankind? Or the Luxen?Together, they can face anything. But the most dangerous foe has been there all along, and when the truths are exposed and the lies come crumbling down, which side will Daemon and Katy be standing on? And will they even be together?
  ...more","/genres/aliens;/genres/romance;/genres/young-adult;/genres/science-fiction;/genres/paranormal-romance","852 users;809 users;544 users;451 users;352 users"
"958","/book/show/36314.Tales_of_H_P_Lovecraft","Tales of H.P. Lovecraft","H.P. Lovecraft;Joyce Carol Oates","When he died in 1937, destitute and emotionally and physically ruined.  H.P. Lovecraft had no idea that he would come to be regarded as the godfather of the modern horror genre, nor that his work would influence an entire generation of writers, including Stephen King and Anne Rice. Now, at last, the most important tales of this distinctive American genious are gathered in
  When he died in 1937, destitute and emotionally and physically ruined.  H.P. Lovecraft had no idea that he would come to be regarded as the godfather of the modern horror genre, nor that his work would influence an entire generation of writers, including Stephen King and Anne Rice. Now, at last, the most important tales of this distinctive American genious are gathered in one volume by National Book Award-winning author Joyce Carol Oates.Combining the nineteenth-century gothic sesibility of Edgar Allan Poe with a daring internal vision, Lovecraft's tales foretold a psychically troubled century to come.  Set in a meticulously described, historically grounded New England landscape, his harrowing stories explore the collapse of sanity beneath the weight of chaotic events.  Lovecraft's universe is a frightening shadow world where reality and nightmare intertwine, and redemption can come only from below.  In her preceptive and penetrating introduction, Oates, herself a virtuoso of the Gothic style, explains how Lovecraft's singular talents fused the supernatural and mundane into a terrifying complex, exquisitely realized vision.
  ...more","/genres/horror;/genres/short-stories;/genres/fiction;/genres/classics;/genres/fantasy;/genres/science-fiction;/genres/gothic;/genres/literature;/genres/anthologies;/genres/lovecraftian","224 users;77 users;77 users;71 users;63 users;28 users;18 users;11 users;9 users;8 users"
"959","/book/show/29209.The_Color_of_Water","The Color of Water: A Black Man's Tribute to His White Mother","James McBride","The Color of Water tells the remarkable story of Ruth McBride Jordan, the two good men she married, and the 12 good children she raised. Jordan, born Rachel Shilsky, a Polish Jew, immigrated to America soon after birth; as an adult she moved to New York City, leaving her family and faith behind in Virginia. Jordan met and married a black man, making her isolation even more
  The Color of Water tells the remarkable story of Ruth McBride Jordan, the two good men she married, and the 12 good children she raised. Jordan, born Rachel Shilsky, a Polish Jew, immigrated to America soon after birth; as an adult she moved to New York City, leaving her family and faith behind in Virginia. Jordan met and married a black man, making her isolation even more profound. The book is a success story, a testament to one woman's true heart, solid values, and indomitable will. Ruth Jordan battled not only racism but also poverty to raise her children and, despite being sorely tested, never wavered. In telling her story--along with her son's--The Color of Water addresses racial identity with compassion, insight, and realism. It is, in a word, inspiring, and you will finish it with unalloyed admiration for a flawed but remarkable individual. And, perhaps, a little more faith in us all.
  ...more","/genres/non-fiction;/genres/memoir;/genres/biography;/genres/african-american","940 users;763 users;384 users;156 users"
"960","/book/show/17333223-the-goldfinch","The Goldfinch","Donna Tartt","It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mothe
  It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.As an adult, Theo moves silkily between the drawing rooms of the rich and the dusty labyrinth of an antiques store where he works. He is alienated and in love-and at the center of a narrowing, ever more dangerous circle.The Goldfinch combines vivid characters, mesmerizing language, and suspense, while plumbing with a philosopher's calm the deepest mysteries of love, identity, and art. It is an old-fashioned story of loss and obsession, survival and self-invention, and the ruthless machinations of fate.
  ...more","/genres/fiction;/genres/contemporary;/genres/literary-fiction","5,159 users;921 users;579 users"
"961","/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency","Dirk Gently's Holistic Detective Agency (Dirk Gently #1)","Douglas Adams","What do a dead cat, a computer whiz-kid, an Electric Monk who believes the world is pink, quantum mechanics, a Chronologist over 200 years old, Samuel Taylor Coleridge (poet), and pizza have in common? Apparently not much; until Dirk Gently, self-styled private investigator, sets out to prove the fundamental interconnectedness of all things by solving a mysterious murder,
  What do a dead cat, a computer whiz-kid, an Electric Monk who believes the world is pink, quantum mechanics, a Chronologist over 200 years old, Samuel Taylor Coleridge (poet), and pizza have in common? Apparently not much; until Dirk Gently, self-styled private investigator, sets out to prove the fundamental interconnectedness of all things by solving a mysterious murder, assisting a mysterious professor, unravelling a mysterious mystery, and eating a lot of pizza – not to mention saving the entire human race from extinction along the way (at no extra charge). To find out more, read this book (better still, buy it, then read it) – or contact Dirk Gently’s Holistic Detective Agency. ‘A thumping good detective-ghost-horror-whodunnit-time travel-romantic-musical-comedy epic.’ The author
  ...more","/genres/science-fiction;/genres/fiction;/genres/fantasy;/genres/humor","446 users;394 users;291 users;261 users"
"962","/book/show/15926.Nights_in_Rodanthe","Nights in Rodanthe","Nicholas Sparks","From the #1 New York Times bestselling author Nicholas Sparks comes a tender story of hope and joy; of sacrifice and forgiveness -- a moving reminder that love is possible at any age, at any time, and often comes when we least expect it. At forty-five, Adrienne Willis must rethink her entire life when her husband abandons her for a younger woman. Reeling with heartache and
  From the #1 New York Times bestselling author Nicholas Sparks comes a tender story of hope and joy; of sacrifice and forgiveness -- a moving reminder that love is possible at any age, at any time, and often comes when we least expect it. At forty-five, Adrienne Willis must rethink her entire life when her husband abandons her for a younger woman. Reeling with heartache and in search of a respite, she flees to the small coastal town of Rodanthe, North Carolina to tend to a friend's inn for the weekend. But when a major storm starts moving in, it appears that Adrienne's perfect getaway will be ruined -- until a guest named Paul Flanner arrives. At fifty-four, Paul has just sold his medical practice and come to Rodanthe to escape his own shattered past. Now, with the storm closing in, two wounded people will turn to each other for comfort -- and in one weekend set in motion feelings that will resonate throughout the rest of their lives.Did You Know?---The main characters' names were Christmas presents to Nicholas's in-laws (Paul and Adrienne)?This was Nicholas's first book to debut at #1?
  ...more","/genres/romance;/genres/fiction;/genres/chick-lit;/genres/contemporary;/genres/adult","1,343 users;673 users;356 users;137 users;116 users"
"963","/book/show/243705.The_Collector","The Collector","John Fowles","Withdrawn, uneducated and unloved, Frederick collects butterflies and takes photographs. He is obsessed with a beautiful stranger, the art student Miranda. When he wins the pools he buys a remote Sussex house and calmly abducts Miranda, believing she will grow to love him in time. Alone and desperate, Miranda must struggle to overcome her own prejudices and contempt if she
  Withdrawn, uneducated and unloved, Frederick collects butterflies and takes photographs. He is obsessed with a beautiful stranger, the art student Miranda. When he wins the pools he buys a remote Sussex house and calmly abducts Miranda, believing she will grow to love him in time. Alone and desperate, Miranda must struggle to overcome her own prejudices and contempt if she is understand her captor, and so gain her freedom.
  ...more","/genres/fiction;/genres/classics;/genres/horror;/genres/thriller;/genres/crime","742 users;372 users;345 users;191 users;113 users"
"964","/book/show/22896.Practical_Magic","Practical Magic","Alice Hoffman","“[A] delicious fantasy of witchcraft and love in a world where gardens smell of lemon verbena and happy endings are possible.”—CosmopolitanThe Owens sisters confront the challenges of life and love in this bewitching novel from New York Times bestselling author Alice Hoffman.For more than two hundred years, the Owens women have been blamed for everything that has gone wron
  “[A] delicious fantasy of witchcraft and love in a world where gardens smell of lemon verbena and happy endings are possible.”—CosmopolitanThe Owens sisters confront the challenges of life and love in this bewitching novel from New York Times bestselling author Alice Hoffman.For more than two hundred years, the Owens women have been blamed for everything that has gone wrong in their Massachusetts town. Gillian and Sally have endured that fate as well: as children, the sisters were forever outsiders, taunted, talked about, pointed at. Their elderly aunts almost seemed to encourage the whispers of witchery, with their musty house and their exotic concoctions and their crowd of black cats. But all Gillian and Sally wanted was to escape. One will do so by marrying, the other by running away. But the bonds they share will bring them back—almost as if by magic...“Splendid...Practical Magic is one of [Hoffman's] best novels, showing on every page her gift for touching ordinary life as if with a wand, to reveal how extraordinary life really is.”—Newsweek
  ...more","/genres/fiction;/genres/fantasy;/genres/magical-realism;/genres/romance;/genres/magic;/genres/witches;/genres/paranormal;/genres/chick-lit;/genres/supernatural;/genres/contemporary","817 users;674 users;380 users;210 users;191 users;183 users;168 users;128 users;90 users;82 users"
"965","/book/show/19405702-walks-away-woman","Walks Away Woman","Ki Longfellow","Ki Longfellow, acclaimed author of Flow Down Like Silver: Hypatia of Alexandria, The Secret Magdalene, and Houdini Heart has penned Walks Away Woman, a remarkable story of an ordinary woman driven to an extraordinary decision. Overwhelmed, overwrought, and overweight, an everyday housewife walks into the Sonoran Desert to die. But there’s more to a desert than sand or deat
  Ki Longfellow, acclaimed author of Flow Down Like Silver: Hypatia of Alexandria, The Secret Magdalene, and Houdini Heart has penned Walks Away Woman, a remarkable story of an ordinary woman driven to an extraordinary decision. Overwhelmed, overwrought, and overweight, an everyday housewife walks into the Sonoran Desert to die. But there’s more to a desert than sand or death. There’s thorns, venom, claws, heat, thirst, other people—and unexpected adventure.As she says, “It’s because your gums are receding and your hair is thinning and your neckline is sagging. It’s because all you ever had was your youth, and you spent that so long ago now it’s hard to remember what you bought with it. Mrs. Warner shuddered in her loosening skin, was almost running now. It’s because you’re scared. Lately you’re so scared and so aimless and so useless you sleep half the day and panic half the night. In between, you watch TV to ward off the evil of watching yourself. So—if not death, then what? “When she tripped over a rock—and in tripping, plunged over the edge of a cliff—Mrs. Warner had forgotten the desert, the cacti, the heat, the hunger, the thirst. All that was left was an ever increasing panic and an ever deepening desperation. And then there was the shock of falling and the screaming inside: Here we go, here we go—but don’t hurt, don’t hurt. Oh god, please! Don’t hurt!After that, there was nothing.”Until she woke up at the bottom of an arroyo with a lot of surviving to do. And all she had was her purse. It wasn’t much to face a desert with, but Mrs. Warner, born Molly Brock, was in a fight for her life, the life she didn’t want until she was just about to lose it.What’s an everyday housewife to do? In Molly’s case, a lot. And every bit of it changing her from ordinary to extraordinary.
  ...more","/genres/survival;/genres/adventure;/genres/fiction;/genres/literature;/genres/funny;/genres/nature;/genres/thriller","22 users;16 users;5 users;4 users;3 users;2 users;2 users"
"966","/book/show/33456.A_Dirty_Job","A Dirty Job (Grim Reaper, #1)","Christopher Moore","Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay—until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited
  Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay—until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited for a new position: as Death.It's a dirty job, but hey! Somebody's got to do it.
  ...more","/genres/humor;/genres/fantasy;/genres/comedy;/genres/paranormal;/genres/urban-fantasy;/genres/funny","1,237 users;1,001 users;299 users;251 users;242 users;239 users"
"967","/book/show/16070903-fallen-too-far","Fallen Too Far (Rosemary Beach, #1; Too Far, #1)","Abbi Glines","To want what you’re not supposed to have…She is only nineteen.She is his new stepfather’s daughter. She is still naïve and innocent due to spending the last three years taking care of her sick mother. But for twenty-four year old Rush Finlay, she is the only thing that has ever been off limits. His famous father’s guilt money, his mother’s desperation to win his love, and
  To want what you’re not supposed to have…She is only nineteen.She is his new stepfather’s daughter. She is still naïve and innocent due to spending the last three years taking care of her sick mother. But for twenty-four year old Rush Finlay, she is the only thing that has ever been off limits. His famous father’s guilt money, his mother’s desperation to win his love, and his charm are the three reasons he has never been told no.Blaire Wynn left her small farmhouse in Alabama, after her mother passed away, to move in with her father and his new wife in their sprawling beach house along the Florida gulf coast. She isn’t prepared for the lifestyle change and she knows she’ll never fit into this world. Then there is her sexy stepbrother who her father leaves her with for the summer while he runs off to Paris with his wife. Rush is as spoiled as he is gorgeous. He is also getting under her skin. She knows he is anything but good for her and that he’ll never be faithful to anyone. He is jaded and has secrets Blaire knows she may never uncover but even knowing all of that…Blaire just may have fallen too far.
  ...more","/genres/romance;/genres/contemporary;/genres/contemporary-romance;/genres/young-adult;/genres/chick-lit;/genres/adult;/genres/love;/genres/erotica;/genres/drama;/genres/fiction","1,793 users;706 users;448 users;329 users;195 users;125 users;107 users;106 users;94 users;94 users"
"968","/book/show/162085.Pretty_Little_Liars","Pretty Little Liars (Pretty Little Liars, #1)","Sara Shepard","Three years ago, Alison disappeared after a slumber party, not to be seen since. Her friends at the elite Pennsylvania school mourned her, but they also breathed secret sighs of relief. Each of them guarded a secret that only Alison had known. Now they have other dirty little secrets, secrets that could sink them in their gossip-hungry world. When each of them begins recei
  Three years ago, Alison disappeared after a slumber party, not to be seen since. Her friends at the elite Pennsylvania school mourned her, but they also breathed secret sighs of relief. Each of them guarded a secret that only Alison had known. Now they have other dirty little secrets, secrets that could sink them in their gossip-hungry world. When each of them begins receiving anonymous emails and text messages, panic sets in. Are they being betrayed by some one in their circle? Worse yet: Is Alison back? A strong launch for a suspenseful series.
  ...more","/genres/young-adult;/genres/mystery;/genres/contemporary","1,871 users;1,042 users;474 users"
